stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
Berlinerstrasse Ecke Bundesallee,autobus,A2,1965105,"52.48732427,13.33091399",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10715
Bundesplatz,autobus,A2,1965106,"52.47867899,13.32860278",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10715
Friedrich-Wilhelm-Platz,autobus,A2,1965107,"52.47128806,13.32836213",,Friedenau,Tempelhof-Schöneberg,west,12161
Schloßstrasse Ecke Bundesallee,autobus,A2,1965108,"52.46494077,13.32851361",,Friedenau,Tempelhof-Schöneberg,west,12161
Feuerbachstrasse Ecke Bismarckstrasse,autobus,A2,1965109,"52.46451344,13.33892787",,Steglitz,Steglitz-Zehlendorf,west,12163
Bergstrasse Ecke Bismarckstrasse,autobus,A2,1965110,"52.45863817,13.33931462",nan+ nan,Steglitz,Steglitz-Zehlendorf,west,12169
Steglitzerdamm Ecke Halskestrasse,autobus,A2,1965111,"52.45002165,13.34670705",,Steglitz,Steglitz-Zehlendorf,west,12169
Leonorenstrasse Ecke Siemensstrasse,autobus,A2,1965112,"52.44438058,13.33887527",,Lankwitz,Steglitz-Zehlendorf,west,12247
"Lankwitz, Kirche",autobus,A2,1965113,"52.43629187,13.34574539",,Lankwitz,Steglitz-Zehlendorf,west,12247
Havensteinstrasse Ecke Gallwitzallee,autobus,A2,1965114,"52.43194849,13.34634331",,Lankwitz,Steglitz-Zehlendorf,west,12249
Lerbacher Weg,autobus,A2,1965115,"52.42568639,13.34759454",,Lankwitz,Steglitz-Zehlendorf,west,12249
Trippsteinstrase Ecke Frankenhauserstrasse,autobus,A2,1965116,"52.41708279,13.34765431",,Lankwitz,Steglitz-Zehlendorf,west,12249
Winfriedstrasse Ecke Clayallee,autobus,A3,1965117,"52.43922363,13.26287811",,Zehlendorf,Steglitz-Zehlendorf,west,14169
Sundgauerstrasse Ecke Clayallee,autobus,A3,1965118,"52.44557392,13.26767122",,Zehlendorf,Steglitz-Zehlendorf,west,14169
U-Bhf. Onkel-Toms-Hütte,autobus,A3,1965119,"52.45007713,13.25127259",,Zehlendorf,Steglitz-Zehlendorf,west,14169
U-Bhf. Krumme Lanke,autobus,A3,1965120,"52.44361298,13.24100643",,Zehlendorf,Steglitz-Zehlendorf,west,14163
Lindenthalerallee Ecke Argentischestrasse,autobus,A3,1965121,"52.43767236,13.23234537",,Zehlendorf,Steglitz-Zehlendorf,west,14163
Spanischeallee Ecke Potsdamerschaussee,autobus,A3,1965122,"52.42962237,13.22400734",,Nikolassee,Steglitz-Zehlendorf,west,14129
Schopenhauerstrasse Ecke Spanischeallee,autobus,A3,1965123,"52.43394923,13.21204795",,Nikolassee,Steglitz-Zehlendorf,west,14129
Borussenstrasse Ecke Spanischeallee,autobus,A3,1965124,"52.43382331,13.19324567",,Nikolassee,Steglitz-Zehlendorf,west,14129
Am Beelitzhof Ecke Kronprinzessinnenweg,autobus,A3,1965125,"52.43221622,13.18668380",,Nikolassee,Steglitz-Zehlendorf,west,14129
Bhf. Wannsee,autobus,A3,1965126,"52.42151302,13.17810257",,Wannsee,Steglitz-Zehlendorf,west,14109
Am Großen Wannssee Ecke Königstrasse,autobus,A3,1965127,"52.42050256,13.16717980",,Wannsee,Steglitz-Zehlendorf,west,14109
Pfaueninselchaussee Ecke Königstrasse,autobus,A3,1965128,"52.41883990,13.15300828",,Wannsee,Steglitz-Zehlendorf,west,14109
Rathaus Wannsee,autobus,A3,1965129,"52.41844013,13.14887249",,Wannsee,Steglitz-Zehlendorf,west,14109
"Stölpchensee, Wilhelmplatz",autobus,A3,1965130,"52.41240583,13.14164452",,Wannsee,Steglitz-Zehlendorf,west,14109
"Neu-Westend, Brixplatz",autobus,A4,1965131,"52.51950863,13.25638651",,Westend,Charlottenburg-Wilmersdorf,west,14052
Theodor-Heuss-Platz,autobus,A4,1965132,"52.50937134,13.27256472",,Westend,Charlottenburg-Wilmersdorf,west,14052
Messedamm,autobus,A4,1965133,"52.50446815,13.27941210",,Westend,Charlottenburg-Wilmersdorf,west,14055
Henriettenplatz,autobus,A4,1965134,"52.49701780,13.29033951",,Halensee,Charlottenburg-Wilmersdorf,west,10711
Hochmeisterplatz,autobus,A4,1965135,"52.49468638,13.30125468",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10709
Berlinerstrasse Ecke Uhlandstrasse,autobus,A4,1965136,"52.48647343,13.32250152",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10715
Bundesallee Ecke Badenschestrasse,autobus,A4,1965137,"52.48612222,13.33105202",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10715
Rathaus Schöneberg,autobus,A4,1965138,"52.48515474,13.34508660",,Schöneberg,Tempelhof-Schöneberg,west,10825
Innsbrucker Platz,autobus,A4,1965139,"52.47854551,13.34405869",,Schöneberg,Tempelhof-Schöneberg,west,10827
Hauptstrasse Ecke Dominicusstrasse,autobus,A4,1965140,"52.48178378,13.34841821",",+nan",Schöneberg,Tempelhof-Schöneberg,west,10827
Kaiser-Wilhelm-Platz,autobus,A4,1965141,"52.48632925,13.35655627",,Schöneberg,Tempelhof-Schöneberg,west,10827
Dudenstrasse Ecke Katzbachstrasse,autobus,A4,1965142,"52.48503402,13.37659343",,Kreuzberg,Friedrichshain-Kreuzberg,west,10965
U-Bhf. Flughafen,autobus,A4,1965143,"52.48488596,13.38599655",,Kreuzberg,Friedrichshain-Kreuzberg,west,10965
Columbiadamm Ecke Friesenstrasse,autobus,A4,1965144,"52.48396787,13.39436897",,Kreuzberg,Friedrichshain-Kreuzberg,west,10965
Flughafenstrasse Ecke Hermannstrasse,autobus,A4,1965145,"52.48071391,13.42508430",,Neukölln,Neukölln,west,12049
Kienitzerstrasse Ecke Karl-Marx-Strasse,autobus,A4,1965146,"52.47761763,13.43849396",,Neukölln,Neukölln,west,12043
Sonnenallee Ecke Erkstrasse,autobus,A4,1965147,"52.48167462,13.44010366",,Neukölln,Neukölln,west,12045
Harzerstrasse Ecke Elsenstrasse,autobus,A4,1965148,"52.48508524,13.44890845",,Neukölln,Neukölln,west,12059
Machandelweg,autobus,A5,1965149,"52.52483520,13.24567178",,Spandau,Spandau,west,13597
U-Bhf. Ruhleben,autobus,A5,1965150,"52.52596833,13.24147858",,Spandau,Spandau,west,13597
Teltowerstrasse Ecke Ruhlebenerstrasse,autobus,A5,1965151,"52.52649488,13.21644671",,Wilhelmstadt,Spandau,west,13597
Stresowplatz,autobus,A5,1965152,"52.53362878,13.20678183",,Spandau,Spandau,west,13597
Breite Straße Ecke Charlottenstraße,autobus,A5,1965153,"52.53614601,13.20442667",,Spandau,Spandau,west,13597
