line_name,type,stops,frequency (7:30),length (time),Length (km),year,info
A7,bus,"Glienicke, Kirche - Elsässer Strasse - Schildow, Kirche - Blankenfelde, Hauptstrasse - Industriebahn - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - Florastrasse Ecke Mühlenstrasse - U-Bhf. Vinetastrasse",12,34,14.6,"Zwischen Schildow, Kirche und U-Bhf. Pankow (Vinetastrasse) halbiert sich die angegebene Wagenfolge durch die Linie A 7E",
A7E,bus,"Schildow, Kirche - Blankenfelde, Hauptstrasse - Industriebahn - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - Florastrasse Ecke Mühlenstrasse - U-Bhf. Vinetastrasse",12,23,9.9,"Zwischen Schildow, Kirche und U-Bhf. Pankow (Vinetastrasse) halbiert sich die angegebene Wagenfolge durch die Linie A 7",
A8,bus,"Waldesruh, Malhlsdorfer Allee - Fichtestrasse Ecke Schopenhauerstrasse - Hultschiner Damm - Sadowastrasse - Sadowastrasse Ecke Ulmenstrasse - Jägerstrasse - Biesdorf, Köpenickerstrasse - Dohlengrund - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde",20,33,13.2,,
A8E,bus,"Sadowastrasse - Sadowastrasse Ecke Ulmenstrasse  - Jägerstrasse - Biesdorf, Köpenickerstrasse - Dohlengrund - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde",10,21,8.3,,
A9,bus,Kurische Strasse - Arnswalder Platz - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Oranienburger Tor - Platz vor dem Neuen Tor - Schafnhorststrasse Ecke Kieler Strasse ,7,27,7.3,,
AL,bus,"Neu-Lindenberg - Lindenberg, Schule - Lindenberg, Dorf - Lindenberg, Mühle - Malchow, Dorfstrasse",36,15,5.9,,
AS,bus,"Zühlsdorf - Summt, Seegarten - Triftweg, LPG - Mühlenbeck, Schule - Mönchmühle - Schildow, Kirche",40,25,12.4,,
AZ,bus,"Groß Zieten, Friedrich-Ebert-Strasse - Klein Zieten - Waßmannsdorf - Schönefeld, Kirche - Bhf. Schönefeld",20,24,9.9,,
KBS 101,s-bahn,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Nöldnerplatz - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf - Mahlsdorf - Hoppegarten (Mark) - Neuenhagen (b Bln) - Fredersdorf (b Bln) - Petershagen Nord - Strausberg,,,,,
KBS 101c,s-bahn,Strausberg - Strausberg Stadt - Strausberg Nord,,,,,
KBS 102,s-bahn,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Rummelsburg - Betriebsbahnhof Rummelsburg - Karlshorst - Wuhlheide - Köpenick - Hirschgarten - Friedrichshagen - Rahnsdorf - Wilhelmshagen - Erkner,,,,,
KBS 103,s-bahn,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Treptower Park - Plänterwald - Baumschulenweg - schöneweide - Betriebsbahnhof schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen - Wildau - Königs Wusterhausen,,,,,
KBS 103a,s-bahn,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Treptower Park - Plänterwald - Baumschulenweg - schöneweide - Betriebsbahnhof schöneweide - Adlershof - Altglienicke - Grünbergallee - Zentralflughafen Berlin-schönefeld,,,,,
KBS 104,s-bahn,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen Neuendorf (b Bln) - Bergfelde (b Bln) - schönfließ - Blankenburg - Pankow-Heinersdorf - Pankow - schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Warschauer Str. - Ostbahnhof,,,,,
KBS 104d,s-bahn,Hennigsdorf (b Bln) - Hennigsdorf Nord - Hohenschöpping - Velten (Mark),,,,,
KBS 105,s-bahn,Blankenburg - Pankow-Heinersdorf - Pankow - schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - schöneweide - Betriebsbahnhof schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen,,,,,
KBS 106,s-bahn,Bernau (b Bln) - Zepernick (b Bernau) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow - schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - schöneweide - Oberspree - Spindlersfeld,,,,,
KBS 106a,s-bahn,schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - schöneweide - Betriebsbahnhof schöneweide - Adlershof - Altglienicke - Grünbergallee - Zentralflughafen Berlin-schönefeld,,,,,
A,u-bahn,Pankow (Vinetastr.) - Schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte - Thälmannplatz,5,19,7.5,,
E,u-bahn,Alexanderplatz - Schillingstr. - Strausberger Platz - Marchlewskistr. - Frankfurter Tor - Samariterstr. - Frankfurter Allee - Magdalenenstr. - Bahnhof Lichtenberg - Friedrichsfelde,5,16,7.1,,
