stop_id,stop_name,type,location,in_lines,identifier,line_name,district,neighborhood,east_west_admin
1965157,Waldkrankenhaus,autobus,"52.56214543,13.15834009",,,A5,Spandau,Falkenhagener Feld,west
1965158,"Spandau, Landesnervenklinik",autobus,"52.56341330,13.15430729",,,A5,Spandau,Falkenhagener Feld,west
1965159,S-Bhf. Wannsee,autobus,"52.42146076,13.17811897",,,A6,Steglitz-Zehlendorf,Wannsee,west
1965160,Königstrasse Ecke Kronprinzessinnenweg,autobus,"52.41993325,13.17531239",,,A6,Steglitz-Zehlendorf,Wannsee,west
1965161,Pfaueninselschaussee Ecke Königstrasse,autobus,"52.41884731,13.15300813",,,A6,Steglitz-Zehlendorf,Wannsee,west
1965162,Friedenstrasse Ecke Königstrasse,autobus,"52.41722225,13.13897505",,,A6,Steglitz-Zehlendorf,Wannsee,west
1965163,Schäferberg,autobus,"52.41562662,13.12630868",,,A6,Steglitz-Zehlendorf,Wannsee,west
1965164,Nikolskoerweg Ecke Königstrasse,autobus,"52.41402767,13.10923663",,,A6,Steglitz-Zehlendorf,Wannsee,west
1965165,Glienicker Brücke,autobus,"52.41347409,13.09123588",,,A6,Steglitz-Zehlendorf,Wannsee,west
1965166,"Haselhorst, Kirche",autobus,"52.54682818,13.23706589",,,A10,Spandau,Haselhorst,west
1965167,Paulsternstrasse Ecke Nonnendamm,autobus,"52.53816278,13.24773062",,,A10,Spandau,Haselhorst,west
1965168,Verwaltungs-Gebaüde,autobus,"52.53706333,13.26228517",,,A10,Spandau,Siemensstadt,west
1965169,Spandauerdamm Ecke Fürstenbrunnerweg,autobus,"52.51839041,13.28021290",,,A10,Charlottenburg-Wilmersdorf,Westend,west
1965170,U-Bhf. Kaiserdamm,autobus,"52.50999451,13.28180313",,,A10,Charlottenburg-Wilmersdorf,Westend,west
1965171,Masurenallee Ecke Messedamm,autobus,"52.50646272,13.28040040",,,A10,Charlottenburg-Wilmersdorf,Westend,west
1965172,Amtsgericht,autobus,"52.50682618,13.29739145",,,A10,Charlottenburg-Wilmersdorf,Charlottenburg,west
1965173,Kurfürstendamm Ecke Joachim-Friedrichstrasse,autobus,"52.49800512,13.29619975",,,A10,Charlottenburg-Wilmersdorf,Halensee,west
1965174,Rathenauplatz,autobus,"52.49561135,13.28657375",,,A10,Charlottenburg-Wilmersdorf,Halensee,west
1965175,Elsterplatz,autobus,"52.47977983,13.28550761",,,A10,Charlottenburg-Wilmersdorf,Schmargendorf,west
1965176,Hundekehlestrasse Ecke Warnemünderstrasse,autobus,"52.47539508,13.29037561",,,A10,Charlottenburg-Wilmersdorf,Schmargendorf,west
1965177,Königin-Luise-Strasse Ecke Pacelliallee,autobus,"52.45831131,13.28712680",,,A10,Steglitz-Zehlendorf,Dahlem,west
1965178,U-Bhf. Thielplatz,autobus,"52.45104521,13.28173642",,,A10,Steglitz-Zehlendorf,Dahlem,west
1965179,Berlinerstrasse Ecke Thielallee,autobus,"52.44181287,13.28274544",,,A10,Steglitz-Zehlendorf,Zehlendorf,west
1965180,Berlinerstrasse Ecke Sundgauerstrasse,autobus,"52.43833478,13.27141130",,,A10,Steglitz-Zehlendorf,Zehlendorf,west
1965181,Teltowerdamm Ecke Clayallee,autobus,"52.43506014,13.26041541",,,A10,Steglitz-Zehlendorf,Zehlendorf,west
1965182,Teltowerdamm Ecke Machnowerstrasse,autobus,"52.43081551,13.25929641",,,A10,Steglitz-Zehlendorf,Zehlendorf,west
1965183,Behring-Krankenhaus,autobus,"52.42410895,13.25176454",,,A10,Steglitz-Zehlendorf,Zehlendorf,west
1965184,Lupsteinerweg Ecke Sachtlebenstrasse,autobus,"52.40951067,13.25160884",,,A10,Steglitz-Zehlendorf,Zehlendorf,west
1965185,Saargemünderstrasse Ecke Clayallee,autobus,"52.45093246,13.27071876",,,A11,Steglitz-Zehlendorf,Dahlem,west
1965186,Ihnestrasse Ecke Garystrasse,autobus,"52.44831170,13.27633996",,,A11,Steglitz-Zehlendorf,Dahlem,west
1965187,Corrensplatz,autobus,"52.44601401,13.28426468",,,A11,Steglitz-Zehlendorf,Dahlem,west
1965188,Unter den Eichen Ecke Habelschwendterallee,autobus,"52.44574706,13.29356835",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965189,Gardeschützerweg Ecke Drakestrasse,autobus,"52.44267225,13.29700971",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965190,Ringstrasse Ecke Drakestrasse,autobus,"52.43979507,13.30016971",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965191,Wiesenbaude,autobus,"52.43049524,13.31180861",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965192,Ostrpreußendamm Ecke Königsbergerstrasse,autobus,"52.43078834,13.31750145",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965193,Marienstrasse Ecke Königsbergerstrasse,autobus,"52.42946322,13.32166308",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965194,Morgensternstrasse Ecke Königsbergerstrasse,autobus,"52.42807231,13.32551407",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965195,Kranoldplatz,autobus,"52.42777476,13.32647358",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965196,Langestrasse Ecke Lorenzstrasse,autobus,"52.42401446,13.33313155",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965197,Hildburghauserstrasse Ecke Mariannenstrasse,autobus,"52.41661432,13.33818246",,,A11,Steglitz-Zehlendorf,Lichterfelde,west
1965198,Stadtilmerweg,autobus,"52.41507278,13.34597485",,,A11,Tempelhof-Schöneberg,Marienfelde,west
1965199,"Marienelde, Alt-Marienfelde",autobus,"52.41210781,13.36273360",,,A11,Tempelhof-Schöneberg,Marienfelde,west
1965200,Gartenstrasse Ecke Bernauerstrasse,autobus,"52.53343698,13.38751889",,,A12,Mitte,Gesundbrunnen,west
1965201,Grenzstrasse Ecke Ackerstrasse,autobus,"52.54070452,13.37926714",,,A12,Mitte,Gesundbrunnen,west
1965202,U-Bhf. Leopold-Platz,autobus,"52.54640033,13.35909680",,,A12,Mitte,Wedding,west
1965203,U-Bhf. Seestrasse,autobus,"52.55031541,13.35229850",,,A12,Mitte,Wedding,west
1965204,Bristolstrasse Ecke Barfusstrasse,autobus,"52.55830889,13.35117448",,,A12,Mitte,Wedding,west
1965205,Emmentalerstrasse Ecke Aroserallee,autobus,"52.56751553,13.35120118",,,A12,Reinickendorf,Reinickendorf,west
1965206,Lindauerallee Ecke Roedernallee,autobus,"52.57437590,13.34773196",,,A12,Reinickendorf,Reinickendorf,west
1965207,Tessenowstrasse Ecke Roedernallee,autobus,"52.58314996,13.34369472",,,A12,Reinickendorf,Wittenau,west
1965208,Rathaus Reinickendorf,autobus,"52.59165784,13.32633528",,,A12,Reinickendorf,Wittenau,west
1965209,Cyclopstrasse Ecke Hermsdorferstrasse,autobus,"52.60209837,13.32482303",,,A12,Reinickendorf,Wittenau,west
