stop_id,stop_name,type,location,in_lines,identifier,stop_description
1964547,Imbrosweg Ecke Goldenes Horn,bus,"52.442111970185884, 13.404515856251276",A81,,
1964548,Industriestrasse,strassenbahn,"52.455350229930445, 13.409794385645863",15,,Industriestrasse
1964549,Innsbrucker Platz,bus,"52.478545508234895, 13.34405868604117","A16,A75,A84,A48,A4,A65,A83",,Innsbrucker Platz
1964550,Innsbrucker Platz,s-bahn,"52.4786,13.3439","KBS 100,KBS 100k",Q111263876,S-Bahnhof Innsbrucker Platz
1964551,Innsbrucker Platz,u-bahn,"52.4786,13.3439",B I,Q10275871,
1964552,Invalidenstrasse,bus,"52.53056312073795, 13.383072771001865","A59,A86",,
1964553,Invalidenstrasse,strassenbahn,"52.5324542,13.3974236",82,Q65691740,
1964554,Invalidenstrasse Ecke Chausseestrasse,strassenbahn,"52.5304158,13.3827302",1,Q65552697,U Naturkundemuseum
1964555,Jakob-Kaiser-Platz,bus,"52.536739701449115, 13.293604878938678","A99,A65,A72",,
1964556,Jakob-Kaiser-Platz,strassenbahn,"52.53674527783534, 13.293570890395548",55,,
1964557,Jannowitzbrücke,s-bahn,"52.514822222222,13.41795","KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",Q27955427,S-Jannowitzbrücke station
1964558,"Jerusalems-Kirche, Lindenstrasse",bus,"52.507080658279015, 13.398349137947935",A67,,"Jerusalems-Kirche, Lindenstrasse"
1964559,Joachim-Friedrich-Strasse,bus,"52.49796465694724, 13.296270941417216",A29,,Joachim-Friedrich-Strasse Ecke Kurfürstendamm
1964560,Joachim-Friedrich-Strasse Ecke Kurfürsten Damm,bus,"52.497990910880795, 13.296176084656011",A69,,
1964561,Joachimstaler Strasse,bus,"52.50380704791941, 13.331281572821457",A29,,Joachimstaler Strasse
1964562,Joachimstaler Strasse Ecke Kurfürstendamm,bus,"52.503848526250394, 13.331282191682005","A69,A19",,
1964563,Joachimstrasse,bus,"52.40316589631168, 13.57664158970399",A38,,Joachimstrasse Ecke Schulzendorfer Strasse
1964564,Johannesstift,strassenbahn,"52.56762416524039, 13.191782610265674","54,76",,Johannesstift
1964565,"Johannisthal, Haeckelstrasse",strassenbahn,"52.4402944,13.5052638","85,69,69E",Q66225573,Haeckelstraße
