stop_name,location,type,line_name,stop_id,identifier
Englerallee,"52.46361922777693, 13.304895017988143",autobus,A16,1965271,
Warnemünderstrasse Ecke Breitestrasse,"52.47539579159131, 13.290370564738236",autobus,A17,1965275,
U-Bhf. Rüdesheimerplatz,"52.47292404269686, 13.314390168440026",autobus,A17,1965276,
Königsbergerstrasse Ecke Ostpreußendamm,"52.4307810727668, 13.317489656250665",autobus,A17,1965281,
Oberhoferplatz,"52.42432101898731, 13.328373515119486",autobus,A17,1965282,
Sophie-Charlotte-Strasse Ecke Clayallee,"52.445941679736926, 13.267818412247568",autobus,A18,1965284,
Scharfestrasse Ecke Clayallee,"52.4382668900678, 13.26228603646766",autobus,A18,1965285,
Mittelstrasse Ecke Potsdamerstrasse,"52.434736915791554, 13.249260530132528",autobus,A18,1965286,
Wolzogenstrasse Ecke Potsdamerchaussee,"52.43228423686824, 13.235709724258287",autobus,A18,1965287,
Spanischeallee Ecke Potsdamerchaussee,"52.42958744897956, 13.224025945255768",autobus,A18,1965288,
Quantzstrasse Ecke Potsdamerchaussee,"52.42315874087097, 13.202229490796181",autobus,A18,1965290,
Kronprinzessinnenweg Ecke Königsstrasse,"52.41992383432784, 13.175322637877976",autobus,A18,1965291,
Am Großen Wannsee Ecke Königsstrasse,"52.42050255652165, 13.167179797272718",autobus,A18,1965292,
Pfaueninselchaussee Ecke Königsstrasse,"52.41883032497473, 13.153019885092467",autobus,A18,1965293,
Erdenerstrasse Ecke Königsallee,"52.490537608647614, 13.276356753174568",autobus,A19,1965296,
Wilmersdorferstrasse Ecke Kurfürstendamm,"52.50011662104291, 13.307014286199857",autobus,A19,1965297,
Olivaerplatz,"52.49997141186723, 13.312970614345616",autobus,A19,1965298,
Joachim-Friedrich-Strasse Ecke Kurfürstendamm,"52.49797323013485, 13.29620597795588",autobus,A19,1965299,
Potsdamerstrasse Ecke Bülowstrasse,"52.49781684435931, 13.362034321239987",autobus,A19,1965302,
Bautzenerstrasse Ecke Yorckstrasse,"52.49266113569219, 13.370935687427014",autobus,A19,1965303,
Katzbachstrasse Ecke Yorckstrasse,"52.491560945229864, 13.376745343936172",autobus,A19,1965304,
Flughafen Tempelhof,"52.484308445273, 13.385872022899784",autobus,A19,1965306,
"Tegelort, Almazeile","52.57056041651382, 13.23019255547957",autobus,A20,1965307,
Heiligenseestrasse Ecke Karolinenstrasse,"52.597939078119154, 13.275049567598158",autobus,A20,1965311,
Hatzfeldtallee Ecke Buddestrasse,"52.591931183153726, 13.286136452248227",autobus,A20,1965313,
Martin-Luther-Friedhaus,"52.59837047713527, 13.29834313731419",autobus,A20,1965314,
Waldhornstrasse Ecke Waidmannslusterdamm,"52.602860600000014, 13.30810524232829",autobus,A20,1965316,
Cyclopstrasse Ecke Waidmannslusterdamm,"52.60700630072878, 13.319768994462821",autobus,A20,1965317,
Oraniendamm Ecke Waidmannslusterdamm,"52.60785131311585, 13.323787676950346",autobus,A20,1965318,
Lübars Dorfaue,"52.620366878253975, 13.355601424358994",autobus,A20,1965320,
Wilhelmsruher Damm/Wentowsteig,"52.59669616379989, 13.356753344328837",autobus,A21,1965321,
Oranienburgerstrasse Ecke Wilhelmsruherdamm,"52.595472315365676, 13.332995422596419",autobus,A21,1965322,
Scharnweberstrasse Ecke Eichborndamm,"52.567917843647855, 13.311923448438298",autobus,A21,1965324,
Heckerdamm Ecke Kurt-Schumacherdamm,"52.53961523270396, 13.295375186290334",autobus,A21,1965327,
Olbersstrasse Ecke Tegeler Weg,"52.529310858988396, 13.296297947186627",autobus,A21,1965328,
Hohenzollerndamm Ecke Seesenerstrasse,"52.488395367980004, 13.302136343992393",autobus,A21,1965332,
"Moabit, Wiebestrasse","52.53119512537686, 13.319063771537584",autobus,A24,1965333,
Gotzkowskystrasse Ecke Turmstrasse,"52.52718285888655, 13.330571173015933",autobus,A24,1965334,
Rathenowerstrasse Ecke Turmstrasse,"52.52676344642494, 13.355318930346916",autobus,A24,1965336,
Alt-Moabit Ecke Rathenowerstrasse,"52.52365630557057, 13.356978887488491",autobus,A24,1965337,
John-Foster-Dulles Ecke Spreeweg,"52.51708969778658, 13.354609789362511",autobus,A24,1965338,
Tiergartenstrasse Ecke Großer Stern,"52.509591206909406, 13.351343348357007",autobus,A24,1965339,
Potsdamerstrasse Ecke Schöneberger Ufer,"52.50581886801039, 13.368248100620647",autobus,A24,1965340,
Alexandrinenstrasse Ecke Neuenburgerstrasse,"52.49946450343727, 13.400382939605812",autobus,A24,1965344,
Gneisenaustrasse Ecke Zossenerstrasse,"52.49156620460389, 13.394395378665887",autobus,A24,1965345,
Lietzenburgerstrasse Ecke Joachimstalerstrasse,"52.5004851810172, 13.330846197932718",autobus,A25,1965351,
Pariserstrasse Ecke Bundesallee,"52.49590003928447, 13.330429677289215",autobus,A25,1965352,
Grazerplatz,"52.467317738459734, 13.34764981411883",autobus,A25,1965354,
Tempelhoferdamm Ecke Ordensmeisterstrasse,"52.45579860831293, 13.383963518989457",autobus,A25,1965356,
Gottlieb-Dunkelstrasse Ecke Tempelhofer Weg,"52.46050758769498, 13.417975865979045",autobus,A25,1965357,
Britzerdamm Ecke Tempelhoferweg,"52.44889761060369, 13.436203845404588",autobus,A25,1965358,
U-Bhf. Parchimerallee,"52.44570961435691, 13.449897549577678",autobus,A25,1965359,
Grünerweg Ecke Parchimerallee,"52.44478075982598, 13.45890602390165",autobus,A25,1965360,
Kreuzbergstrasse Ecke Katzbachstrasse,"52.48940625491966, 13.376695251010075",autobus,A28,1965362,
Mehringdamm Ecke Yorckstrasse,"52.49291006774767, 13.387694325878707",autobus,A28,1965364,
Zossenerstrasse Ecke Gneisenaustrasse,"52.491585521219555, 13.394404995426067",autobus,A28,1965365,
U-Bhf. Kottbuser Tor,"52.49909420260336, 13.418266995744759",autobus,A28,1965369,
Köpenickerstrasse Ecke Manteufelstrasse,"52.50575154682288, 13.43197088968533",autobus,A28,1965372,
Heckmannufer Ecke Schlesischestrasse,"52.49753811006636, 13.44837790937891",autobus,A28,1965374,
Berkaerstrasse Ecke Teplitzerstrasse,"52.48211530060271, 13.281181737850199",autobus,A29,1965375,
Franzensbaderstrasse Ecke Hubertusallee,"52.48543153770676, 13.284170801294005",autobus,A29,1965376,
Joachim-Friedrichstrasse Ecke Kurfürstendamm,"52.49797301829551, 13.296235774272446",autobus,A29,1965378,
Joachimstalerstrasse Ecke Kurfürstendamm,"52.50383438458457, 13.331380686992643",autobus,A29,1965380,
Lützowstrasse Ecke Potsdamerstrasse,"52.50309426608924, 13.365669946605617",autobus,A29,1965381,
Schönebergerstrasse Ecke Hallesches Ufer,"52.5019211013165, 13.376906469939517",autobus,A29,1965382,
Askanischerplatz,"52.50447538040482, 13.38235996975725",autobus,A29,1965383,
Nauenerstrasse Ecke Brunsbüttlerdamm,"52.53405375390343, 13.181689176506241",autobus,A31,1965388,
Magistratsweg Ecke Brunsbüttelerdamm,"52.53310160938752, 13.157975869997902",autobus,A31,1965389,
Hackbuschstrasse Ecke Torweg,"52.539599246711234, 13.150229020581698",autobus,A31,1965390,
Gritznerstrasse Ecke Schildhornstrasse,"52.46432401124363, 13.31648844636203",autobus,A32,1965392,
Schloßstrasse Ecke Schildhornstrasse,"52.46148864876181, 13.325150177866623",autobus,A32,1965393,
"Rathaus Steglitz, Schloßstrasse","52.456386416494425, 13.320158736048143",autobus,A32,1965394,
Sedanstrasse Ecke Albrechtstrasse,"52.451434145388106, 13.335355143840719",autobus,A32,1965396,
Stindestrasse Ecke Albrechtstrasse,"52.44812942042887, 13.340113890282302",autobus,A32,1965397,
Bhf. Lankwitz,"52.43916666102863, 13.343567783038457",autobus,A32,1965398,
Marchandstraasse Ecke Malteserstrasse,"52.423017889855146, 13.357497805156054",autobus,A32,1965400,
Marienfelderallee Ecke Malteserstrasse,"52.41372772784424, 13.361916790229118",autobus,A32,1965401,
Stegerwaldstrasse Ecke Marienfelderallee,"52.42072124438791, 13.369266602562593",autobus,A32,1965402,
Bahnstrasse Ecke Marienfelderallee,"52.42488058788552, 13.373070427756728",autobus,A32,1965403,
Heinrich-Seidelstrasse Ecke Steglitzerdamm,"52.45020464446836, 13.345095717556",autobus,A33,1965406,
S-Bhf. Südende,"52.449024612727094, 13.354437621744038",autobus,A33,1965407,
Steglitzerdamm Ecke Attilastrasse,"52.446769046546954, 13.360722409135475",autobus,A33,1965408,
Kaiser-/Ringstrasse,"52.44448052260699, 13.372229079716156",autobus,A33,1965409,
Rathausstrasse Ecke Kaiserstrasse,"52.445262152636666, 13.379482319712023",autobus,A33,1965410,
Kaiserstrasse Ecke Mariendorferdamm,"52.4455628646968, 13.385800565666653",autobus,A33,1965411,
Pionierstrasse Ecke Zeppelinstrasse,"52.55150024507809, 13.18552122175221",autobus,A34,1965413,
Askanierring Ecke Falkenhagenerstrasse,"52.54892649998123, 13.193482697280464",autobus,A34,1965414,
"Spandau, Hafenplatz","52.54215888169655, 13.206044861619935",autobus,A34,1965415,
Heerstrasse Ecke Pichelsdorferstrasse,"52.51306303685328, 13.196897118028657",autobus,A34,1965418,
Großglienickerweg Ecke Kladowerdamm,"52.483132957773115, 13.182677287961232",autobus,A34,1965422,
Krankenhaus Havelhöhe,"52.462919334280684, 13.15899083159388",autobus,A34,1965424,
Alt-Kladow Ecke Kladowerdamm,"52.453457933830805, 13.143875353095428",autobus,A34,1965425,
Schweizerhaus,"52.461750224523236, 13.133578800215144",autobus,A34,1965426,
Alt-Gatow,"52.48331435784138, 13.182693334051848",autobus,A34 E,1965428,
Großglienickerweg,"52.481557277071595, 13.174373838907496",autobus,A34 E,1965429,
Krampnitzerweg Ecke Sakrower Landstrasse,"52.45224947107364, 13.138399435126852",autobus,A35,1965431,
"Kladow, Hottengrund","52.446082177062294, 13.126310250504165",autobus,A35,1965432,
Sarkower Landstrasse Ecke Kladowerdamm,"52.45336190895388, 13.143745139132653",autobus,A35 E,1965434,
Krampnitzerweg Ecke Sarkower Landstrasse,"52.45227850281897, 13.138406319384078",autobus,A35 E,1965435,
Pottensteinerweg Ecke Selbitzerstrasse,"52.45051486040461, 13.121652018702644",autobus,A35 E,1965436,
Lanzendorferweg Ecke Pottensteinerweg,"52.45047760939679, 13.118619103385681",autobus,A35 E,1965437,
"Zehlendorf, Potsdamerstrasse Ecke Fischerhüttenstrasse","52.435744062233844, 13.256045129110074",autobus,A48,1965439,
Teltowerdamm Ecke Potsdamerstrasse,"52.435068536773414, 13.260433418129777",autobus,A48,1965440,
Sundgauerstrasse Ecke Potsdamerstrasse,"52.43835131843071, 13.271393766354123",autobus,A48,1965441,
Dahlemerweg Ecke Berlinerstrasse,"52.441880944060074, 13.282733801844753",autobus,A48,1965442,
Hindenburgdamm Ecke Schloßstrasse,"52.45348338134593, 13.315570926870075",autobus,A48,1965444,
Bundesallee Ecke Schloßstrasse,"52.46491934979211, 13.328462191557684",autobus,A48,1965445,
Innsbruckerplatz,"52.47847894264469, 13.344030264256142",autobus,A48,1965446,
Pallasstrasse Ecke Potsdamerstrasse,"52.49433809731266, 13.361062378493452",autobus,A48,1965447,
Tiergartenstrasse/Philharmonie,"52.510755887367026, 13.368876259254685",autobus,A48,1965449,
